Transaction,Project No,Branch,Manager,Type,Cost,Document type
18-May-12,P1084,6060,JMOLLOY,PP,669.36,PO
18-May-12,P1084,6060,JMOLLOY,PP,56.12,PO
18-May-12,P1084,6060,JMOLLOY,PP,15.36,PO
18-May-12,P1084,6060,JMOLLOY,PP,1.92,PO
18-May-12,P1084,6060,JMOLLOY,PP,46.86,PO
18-May-12,P1084,6060,JMOLLOY,PP,-36.4,PO
30-May-12,P1084,6060,JMOLLOY,PP,669.36,PO
30-May-12,P1084,6060,JMOLLOY,PP,126.27,PO
30-May-12,P1084,6060,JMOLLOY,PP,15.36,PO
30-May-12,P1084,6060,JMOLLOY,PP,4.32,PO
30-May-12,P1084,6060,JMOLLOY,PP,46.86,PO
30-May-12,P1084,6060,JMOLLOY,PP,-39.9,PO
14-Jun-12,P1084,6060,JMOLLOY,PP,669.36,PO
14-Jun-12,P1084,6060,JMOLLOY,PP,98.21,PO
14-Jun-12,P1084,6060,JMOLLOY,PP,15.36,PO
14-Jun-12,P1084,6060,JMOLLOY,PP,3.36,PO
14-Jun-12,P1084,6060,JMOLLOY,PP,46.86,PO
14-Jun-12,P1084,6060,JMOLLOY,PP,-38.5,PO
19-Jun-12,P1084,6060,JMOLLOY,PP,1059.82,PO
19-Jun-12,P1084,6060,JMOLLOY,PP,56.12,PO
19-Jun-12,P1084,6060,JMOLLOY,PP,184.75,PO
19-Jun-12,P1084,6060,JMOLLOY,PP,24.32,PO
19-Jun-12,P1084,6060,JMOLLOY,PP,1.92,PO
19-Jun-12,P1084,6060,JMOLLOY,PP,6.4,PO
19-Jun-12,P1084,6060,JMOLLOY,PP,78.1,PO
19-Jun-12,P1084,6060,JMOLLOY,PP,-63,PO
5-Jul-12,P1084,6060,JMOLLOY,PP,1115.6,PO
5-Jul-12,P1084,6060,JMOLLOY,PP,140.3,PO
5-Jul-12,P1084,6060,JMOLLOY,PP,147.8,PO
5-Jul-12,P1084,6060,JMOLLOY,PP,25.6,PO
5-Jul-12,P1084,6060,JMOLLOY,PP,4.8,PO
5-Jul-12,P1084,6060,JMOLLOY,PP,5.12,PO
5-Jul-12,P1084,6060,JMOLLOY,PP,93.72,PO
5-Jul-12,P1084,6060,JMOLLOY,PP,-68.6,PO
11-Jul-12,P1084,6060,JMOLLOY,PP,892.48,PO
11-Jul-12,P1084,6060,JMOLLOY,PP,84.18,PO
11-Jul-12,P1084,6060,JMOLLOY,PP,20.48,PO
11-Jul-12,P1084,6060,JMOLLOY,PP,2.88,PO
11-Jul-12,P1084,6060,JMOLLOY,PP,62.48,PO
11-Jul-12,P1084,6060,JMOLLOY,PP,-49,PO
22-Mar-13,P1084,6060,JMOLLOY,PP,186.88,PO
29-Feb-12,P1084,6060,JMOLLOY,PY,784,TS
29-Feb-12,P1084,6060,JMOLLOY,PY,784,TS
29-Feb-12,P1084,6060,JMOLLOY,PY,784,TS
29-Feb-12,P1084,6060,JMOLLOY,PY,784,TS
29-Feb-12,P1084,6060,JMOLLOY,PY,784,TS
29-Feb-12,P1084,6060,JMOLLOY,PY,784,TS
29-Feb-12,P1084,6060,JMOLLOY,PY,784,TS
7-Mar-12,P1084,6060,JMOLLOY,PY,784,TS
7-Mar-12,P1084,6060,JMOLLOY,PY,784,TS
7-Mar-12,P1084,6060,JMOLLOY,PY,784,TS
7-Mar-12,P1084,6060,JMOLLOY,PY,784,TS
7-Mar-12,P1084,6060,JMOLLOY,PY,784,TS
14-Mar-12,P1084,6060,JMOLLOY,PY,784,TS
14-Mar-12,P1084,6060,JMOLLOY,PY,784,TS
14-Mar-12,P1084,6060,JMOLLOY,PY,147,TS
14-Mar-12,P1084,6060,JMOLLOY,PY,784,TS
14-Mar-12,P1084,6060,JMOLLOY,PY,784,TS
14-Mar-12,P1084,6060,JMOLLOY,PY,294,TS
14-Mar-12,P1084,6060,JMOLLOY,PY,294,TS
14-Mar-12,P1084,6060,JMOLLOY,PY,980,TS
14-Mar-12,P1084,6060,JMOLLOY,PY,294,TS
14-Mar-12,P1084,6060,JMOLLOY,PY,1176,TS
14-Mar-12,P1084,6060,JMOLLOY,PY,784,TS
14-Mar-12,P1084,6060,JMOLLOY,PY,73.5,TS
14-Mar-12,P1084,6060,JMOLLOY,PY,880,TS
14-Mar-12,P1084,6060,JMOLLOY,PY,330,TS
14-Mar-12,P1084,6060,JMOLLOY,PY,220,TS
14-Mar-12,P1084,6060,JMOLLOY,PY,784,TS
14-Mar-12,P1084,6060,JMOLLOY,PY,880,TS
14-Mar-12,P1084,6060,JMOLLOY,PY,165,TS
14-Mar-12,P1084,6060,JMOLLOY,PY,784,TS
14-Mar-12,P1084,6060,JMOLLOY,PY,784,TS
14-Mar-12,P1084,6060,JMOLLOY,PY,784,TS
14-Mar-12,P1084,6060,JMOLLOY,PY,880,TS
14-Mar-12,P1084,6060,JMOLLOY,PY,165,TS
21-Mar-12,P1084,6060,JMOLLOY,PY,784,TS
21-Mar-12,P1084,6060,JMOLLOY,PY,880,TS
21-Mar-12,P1084,6060,JMOLLOY,PY,330,TS
21-Mar-12,P1084,6060,JMOLLOY,PY,440,TS
21-Mar-12,P1084,6060,JMOLLOY,PY,784,TS
21-Mar-12,P1084,6060,JMOLLOY,PY,784,TS
21-Mar-12,P1084,6060,JMOLLOY,PY,294,TS
21-Mar-12,P1084,6060,JMOLLOY,PY,98,TS
21-Mar-12,P1084,6060,JMOLLOY,PY,294,TS
21-Mar-12,P1084,6060,JMOLLOY,PY,588,TS
21-Mar-12,P1084,6060,JMOLLOY,PY,784,TS
21-Mar-12,P1084,6060,JMOLLOY,PY,784,TS
21-Mar-12,P1084,6060,JMOLLOY,PY,147,TS
21-Mar-12,P1084,6060,JMOLLOY,PY,784,TS
21-Mar-12,P1084,6060,JMOLLOY,PY,784,TS
21-Mar-12,P1084,6060,JMOLLOY,PY,294,TS
21-Mar-12,P1084,6060,JMOLLOY,PY,784,TS
21-Mar-12,P1084,6060,JMOLLOY,PY,294,TS
21-Mar-12,P1084,6060,JMOLLOY,PY,784,TS
21-Mar-12,P1084,6060,JMOLLOY,PY,294,TS
28-Mar-12,P1084,6060,JMOLLOY,PY,784,TS
28-Mar-12,P1084,6060,JMOLLOY,PY,784,TS
28-Mar-12,P1084,6060,JMOLLOY,PY,784,TS
28-Mar-12,P1084,6060,JMOLLOY,PY,784,TS
28-Mar-12,P1084,6060,JMOLLOY,PY,294,TS
28-Mar-12,P1084,6060,JMOLLOY,PY,784,TS
28-Mar-12,P1084,6060,JMOLLOY,PY,784,TS
28-Mar-12,P1084,6060,JMOLLOY,PY,294,TS
28-Mar-12,P1084,6060,JMOLLOY,PY,784,TS
28-Mar-12,P1084,6060,JMOLLOY,PY,784,TS
28-Mar-12,P1084,6060,JMOLLOY,PY,294,TS
28-Mar-12,P1084,6060,JMOLLOY,PY,784,TS
28-Mar-12,P1084,6060,JMOLLOY,PY,784,TS
28-Mar-12,P1084,6060,JMOLLOY,PY,147,TS
28-Mar-12,P1084,6060,JMOLLOY,PY,784,TS
28-Mar-12,P1084,6060,JMOLLOY,PY,784,TS
28-Mar-12,P1084,6060,JMOLLOY,PY,294,TS
4-Apr-12,P1084,6060,JMOLLOY,PY,784,TS
4-Apr-12,P1084,6060,JMOLLOY,PY,330,TS
4-Apr-12,P1084,6060,JMOLLOY,PY,330,TS
4-Apr-12,P1084,6060,JMOLLOY,PY,784,TS
4-Apr-12,P1084,6060,JMOLLOY,PY,294,TS
4-Apr-12,P1084,6060,JMOLLOY,PY,784,TS
4-Apr-12,P1084,6060,JMOLLOY,PY,784,TS
4-Apr-12,P1084,6060,JMOLLOY,PY,294,TS
4-Apr-12,P1084,6060,JMOLLOY,PY,784,TS
4-Apr-12,P1084,6060,JMOLLOY,PY,784,TS
4-Apr-12,P1084,6060,JMOLLOY,PY,294,TS
4-Apr-12,P1084,6060,JMOLLOY,PY,784,TS
4-Apr-12,P1084,6060,JMOLLOY,PY,784,TS
4-Apr-12,P1084,6060,JMOLLOY,PY,294,TS
4-Apr-12,P1084,6060,JMOLLOY,PY,220,TS
4-Apr-12,P1084,6060,JMOLLOY,PY,784,TS
4-Apr-12,P1084,6060,JMOLLOY,PY,784,TS
4-Apr-12,P1084,6060,JMOLLOY,PY,294,TS
11-Apr-12,P1084,6060,JMOLLOY,PY,784,TS
11-Apr-12,P1084,6060,JMOLLOY,PY,784,TS
11-Apr-12,P1084,6060,JMOLLOY,PY,147,TS
18-Apr-12,P1084,6060,JMOLLOY,PY,784,TS
18-Apr-12,P1084,6060,JMOLLOY,PY,294,TS
18-Apr-12,P1084,6060,JMOLLOY,PY,784,TS
18-Apr-12,P1084,6060,JMOLLOY,PY,294,TS
25-Apr-12,P1084,6060,JMOLLOY,PY,784,TS
25-Apr-12,P1084,6060,JMOLLOY,PY,294,TS
25-Apr-12,P1084,6060,JMOLLOY,PY,784,TS
25-Apr-12,P1084,6060,JMOLLOY,PY,294,TS
25-Apr-12,P1084,6060,JMOLLOY,PY,784,TS
25-Apr-12,P1084,6060,JMOLLOY,PY,294,TS
25-Apr-12,P1084,6060,JMOLLOY,PY,784,TS
